Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:21:49.007000,PER,11,0 days 00:01:28.147000,7.0,1.0,,,0 days 00:00:24.602000,0 days 00:00:33.482000,0 days 00:00:30.063000,0 days 00:20:45.477000,0 days 00:21:18.959000,0 days 00:21:49.022000,243.0,224.0,281.0,324.0,True,SOFT,6.0,True,Force India,0 days 00:20:20.860000,2018-05-13 13:26:27.684,1,13.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:15.864000,PER,11,0 days 00:01:26.857000,8.0,1.0,,,0 days 00:00:24.410000,0 days 00:00:33.059000,0 days 00:00:29.388000,0 days 00:22:13.432000,0 days 00:22:46.491000,0 days 00:23:15.879000,244.0,228.0,280.0,323.0,True,SOFT,7.0,True,Force India,0 days 00:21:49.007000,2018-05-13 13:27:55.831,1,13.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:00.743000,PER,11,0 days 00:01:23.845000,22.0,1.0,,,0 days 00:00:23.503000,0 days 00:00:31.564000,0 days 00:00:28.778000,0 days 00:42:00.416000,0 days 00:42:31.980000,0 days 00:43:00.758000,269.0,263.0,277.0,309.0,False,SOFT,21.0,True,Force India,0 days 00:41:36.898000,2018-05-13 13:47:43.722,1,10.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 01:06:54.506000,PER,11,0 days 00:01:24.038000,39.0,2.0,,,0 days 00:00:23.222000,0 days 00:00:31.813000,0 days 00:00:29.003000,0 days 01:05:53.705000,0 days 01:06:25.518000,0 days 01:06:54.521000,267.0,208.0,279.0,309.0,False,MEDIUM,13.0,True,Force India,0 days 01:05:30.468000,2018-05-13 14:11:37.292,12,10.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:17.127000,PER,11,0 days 00:01:22.003000,58.0,3.0,,,0 days 00:00:22.676000,0 days 00:00:31.206000,0 days 00:00:28.121000,0 days 01:33:17.815000,0 days 01:33:49.021000,0 days 01:34:17.142000,270.0,260.0,282.0,339.0,False,SOFT,24.0,False,Force India,0 days 01:32:55.124000,2018-05-13 14:39:01.948,1,9.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:39.601000,PER,11,0 days 00:01:22.474000,59.0,3.0,,,0 days 00:00:23.179000,0 days 00:00:31.068000,0 days 00:00:28.227000,0 days 01:34:40.321000,0 days 01:35:11.389000,0 days 01:35:39.616000,,249.0,284.0,315.0,False,SOFT,25.0,False,Force India,0 days 01:34:17.127000,2018-05-13 14:40:23.951,1,9.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:37:02.473000,PER,11,0 days 00:01:22.872000,60.0,3.0,,,0 days 00:00:23.615000,0 days 00:00:31.200000,0 days 00:00:28.057000,0 days 01:36:03.231000,0 days 01:36:34.431000,0 days 01:37:02.488000,268.0,257.0,280.0,316.0,False,SOFT,26.0,False,Force India,0 days 01:35:39.601000,2018-05-13 14:41:46.425,1,9.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:24.785000,PER,11,0 days 00:01:22.312000,61.0,3.0,,,0 days 00:00:23.425000,0 days 00:00:30.900000,0 days 00:00:27.987000,0 days 01:37:25.913000,0 days 01:37:56.813000,0 days 01:38:24.800000,273.0,262.0,281.0,309.0,False,SOFT,27.0,False,Force India,0 days 01:37:02.473000,2018-05-13 14:43:09.297,1,9.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:47.041000,PER,11,0 days 00:01:22.256000,62.0,3.0,,,0 days 00:00:23.292000,0 days 00:00:30.840000,0 days 00:00:28.124000,0 days 01:38:48.092000,0 days 01:39:18.932000,0 days 01:39:47.056000,,254.0,281.0,,False,SOFT,28.0,False,Force India,0 days 01:38:24.785000,2018-05-13 14:44:31.609,1,9.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
0 days 01:41:09.644000,PER,11,0 days 00:01:22.603000,63.0,3.0,,,0 days 00:00:23.524000,0 days 00:00:30.874000,0 days 00:00:28.205000,0 days 01:40:10.580000,0 days 01:40:41.454000,0 days 01:41:09.659000,269.0,263.0,279.0,305.0,False,SOFT,29.0,False,Force India,0 days 01:39:47.041000,2018-05-13 14:45:53.865,1,9.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:42:34.996000,PER,11,0 days 00:01:25.352000,64.0,3.0,,,0 days 00:00:23.501000,0 days 00:00:31.231000,0 days 00:00:30.620000,0 days 01:41:33.160000,0 days 01:42:04.391000,0 days 01:42:35.011000,271.0,253.0,110.0,308.0,False,SOFT,30.0,False,Force India,0 days 01:41:09.644000,2018-05-13 14:47:16.468,1,9.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 00:21:47.292000,ALO,14,0 days 00:01:27.750000,7.0,1.0,,,0 days 00:00:24.582000,0 days 00:00:32.963000,0 days 00:00:30.205000,0 days 00:20:44.159000,0 days 00:21:17.122000,0 days 00:21:47.327000,255.0,242.0,277.0,322.0,True,SUPERSOFT,9.0,False,McLaren,0 days 00:20:19.542000,2018-05-13 13:26:26.366,1,10.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:13.354000,ALO,14,0 days 00:01:26.062000,8.0,1.0,,,0 days 00:00:24.421000,0 days 00:00:32.476000,0 days 00:00:29.165000,0 days 00:22:11.748000,0 days 00:22:44.224000,0 days 00:23:13.389000,250.0,243.0,273.0,309.0,True,SUPERSOFT,10.0,False,McLaren,0 days 00:21:47.292000,2018-05-13 13:27:54.116,1,10.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 01:06:48.296000,ALO,14,0 days 00:01:22.807000,39.0,2.0,,,0 days 00:00:23.374000,0 days 00:00:30.967000,0 days 00:00:28.466000,0 days 01:05:48.898000,0 days 01:06:19.865000,0 days 01:06:48.331000,266.0,261.0,283.0,,False,MEDIUM,18.0,True,McLaren,0 days 01:05:25.489000,2018-05-13 14:11:32.313,12,9.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:02.962000,ALO,14,0 days 00:01:21.945000,58.0,2.0,,,0 days 00:00:23.322000,0 days 00:00:30.715000,0 days 00:00:27.908000,0 days 01:33:04.374000,0 days 01:33:35.089000,0 days 01:34:02.997000,272.0,268.0,274.0,,False,MEDIUM,37.0,True,McLaren,0 days 01:32:41.017000,2018-05-13 14:38:47.841,1,8.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:25.299000,ALO,14,0 days 00:01:22.337000,59.0,2.0,,,0 days 00:00:23.413000,0 days 00:00:30.637000,0 days 00:00:28.287000,0 days 01:34:26.410000,0 days 01:34:57.047000,0 days 01:35:25.334000,273.0,264.0,274.0,,False,MEDIUM,38.0,True,McLaren,0 days 01:34:02.962000,2018-05-13 14:40:09.786,1,8.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:36:47.615000,ALO,14,0 days 00:01:22.316000,60.0,2.0,,,0 days 00:00:23.881000,0 days 00:00:30.523000,0 days 00:00:27.912000,0 days 01:35:49.215000,0 days 01:36:19.738000,0 days 01:36:47.650000,272.0,266.0,276.0,299.0,False,MEDIUM,39.0,True,McLaren,0 days 01:35:25.299000,2018-05-13 14:41:32.123,1,8.0,False,,False,True,16.8,50.2,1001.4,False,32.3,76,1.8
0 days 01:38:08.811000,ALO,14,0 days 00:01:21.196000,61.0,2.0,,,0 days 00:00:23.143000,0 days 00:00:30.302000,0 days 00:00:27.751000,0 days 01:37:10.793000,0 days 01:37:41.095000,0 days 01:38:08.846000,277.0,268.0,277.0,302.0,True,MEDIUM,40.0,True,McLaren,0 days 01:36:47.615000,2018-05-13 14:42:54.439,1,8.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:29.781000,ALO,14,0 days 00:01:20.970000,62.0,2.0,,,0 days 00:00:23.124000,0 days 00:00:30.125000,0 days 00:00:27.721000,0 days 01:38:31.970000,0 days 01:39:02.095000,0 days 01:39:29.816000,272.0,269.0,277.0,300.0,True,MEDIUM,41.0,True,McLaren,0 days 01:38:08.811000,2018-05-13 14:44:15.635,1,8.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
0 days 01:40:50.637000,ALO,14,0 days 00:01:20.856000,63.0,2.0,,,0 days 00:00:23.028000,0 days 00:00:30.170000,0 days 00:00:27.658000,0 days 01:39:52.844000,0 days 01:40:23.014000,0 days 01:40:50.672000,275.0,272.0,275.0,299.0,True,MEDIUM,42.0,True,McLaren,0 days 01:39:29.781000,2018-05-13 14:45:36.605,1,8.0,False,,False,True,17.0,49.5,1001.6,False,30.9,90,2.3
0 days 01:42:11.364000,ALO,14,0 days 00:01:20.727000,64.0,2.0,,,0 days 00:00:22.981000,0 days 00:00:30.133000,0 days 00:00:27.613000,0 days 01:41:13.653000,0 days 01:41:43.786000,0 days 01:42:11.399000,278.0,271.0,277.0,,True,MEDIUM,43.0,True,McLaren,0 days 01:40:50.637000,2018-05-13 14:46:57.461,1,8.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:43:32.423000,ALO,14,0 days 00:01:21.059000,65.0,2.0,,,0 days 00:00:22.904000,0 days 00:00:30.028000,0 days 00:00:28.127000,0 days 01:42:34.303000,0 days 01:43:04.331000,0 days 01:43:32.458000,277.0,277.0,275.0,300.0,False,MEDIUM,44.0,True,McLaren,0 days 01:42:11.364000,2018-05-13 14:48:18.188,1,8.0,False,,False,True,16.5,51.2,1001.6,False,29.8,62,2.4
0 days 00:21:46.839000,LEC,16,0 days 00:01:27.831000,7.0,1.0,,,0 days 00:00:24.651000,0 days 00:00:33.351000,0 days 00:00:29.829000,0 days 00:20:43.682000,0 days 00:21:17.033000,0 days 00:21:46.862000,248.0,230.0,279.0,317.0,True,SOFT,6.0,True,Sauber,0 days 00:20:19.008000,2018-05-13 13:26:25.832,1,9.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:12.599000,LEC,16,0 days 00:01:25.760000,8.0,1.0,,,0 days 00:00:24.218000,0 days 00:00:32.550000,0 days 00:00:28.992000,0 days 00:22:11.080000,0 days 00:22:43.630000,0 days 00:23:12.622000,243.0,244.0,278.0,315.0,True,SOFT,7.0,True,Sauber,0 days 00:21:46.839000,2018-05-13 13:27:53.663,1,9.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:10.452000,LEC,16,0 days 00:01:23.030000,22.0,2.0,,,0 days 00:00:23.539000,0 days 00:00:31.177000,0 days 00:00:28.314000,0 days 00:42:10.984000,0 days 00:42:42.161000,0 days 00:43:10.475000,274.0,262.0,282.0,310.0,True,MEDIUM,2.0,True,Sauber,0 days 00:41:47.422000,2018-05-13 13:47:54.246,1,15.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 01:06:47.574000,LEC,16,0 days 00:01:22.710000,39.0,2.0,,,0 days 00:00:23.447000,0 days 00:00:31.056000,0 days 00:00:28.207000,0 days 01:05:48.334000,0 days 01:06:19.390000,0 days 01:06:47.597000,274.0,266.0,278.0,308.0,True,MEDIUM,19.0,True,Sauber,0 days 01:05:24.864000,2018-05-13 14:11:31.688,12,8.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:34:18.782000,LEC,16,0 days 00:01:24.121000,58.0,2.0,,,0 days 00:00:24.065000,0 days 00:00:31.406000,0 days 00:00:28.650000,0 days 01:33:18.749000,0 days 01:33:50.155000,0 days 01:34:18.805000,263.0,254.0,280.0,310.0,False,MEDIUM,38.0,True,Sauber,0 days 01:32:54.661000,2018-05-13 14:39:01.485,1,10.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:42.228000,LEC,16,0 days 00:01:23.446000,59.0,2.0,,,0 days 00:00:23.569000,0 days 00:00:31.197000,0 days 00:00:28.680000,0 days 01:34:42.374000,0 days 01:35:13.571000,0 days 01:35:42.251000,267.0,257.0,281.0,311.0,False,MEDIUM,39.0,True,Sauber,0 days 01:34:18.782000,2018-05-13 14:40:25.606,1,10.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:37:05.827000,LEC,16,0 days 00:01:23.599000,60.0,2.0,,,0 days 00:00:23.633000,0 days 00:00:31.176000,0 days 00:00:28.790000,0 days 01:36:05.884000,0 days 01:36:37.060000,0 days 01:37:05.850000,272.0,254.0,281.0,,False,MEDIUM,40.0,True,Sauber,0 days 01:35:42.228000,2018-05-13 14:41:49.052,1,10.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:29.184000,LEC,16,0 days 00:01:23.357000,61.0,2.0,,,0 days 00:00:23.667000,0 days 00:00:31.204000,0 days 00:00:28.486000,0 days 01:37:29.517000,0 days 01:38:00.721000,0 days 01:38:29.207000,268.0,260.0,281.0,309.0,False,MEDIUM,41.0,True,Sauber,0 days 01:37:05.827000,2018-05-13 14:43:12.651,1,10.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:51.994000,LEC,16,0 days 00:01:22.810000,62.0,2.0,,,0 days 00:00:23.432000,0 days 00:00:31.026000,0 days 00:00:28.352000,0 days 01:38:52.639000,0 days 01:39:23.665000,0 days 01:39:52.017000,266.0,256.0,281.0,308.0,False,MEDIUM,42.0,True,Sauber,0 days 01:38:29.184000,2018-05-13 14:44:36.008,1,10.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
0 days 01:41:16.842000,LEC,16,0 days 00:01:24.848000,63.0,2.0,,,0 days 00:00:23.583000,0 days 00:00:32.861000,0 days 00:00:28.404000,0 days 01:40:15.600000,0 days 01:40:48.461000,0 days 01:41:16.865000,264.0,255.0,281.0,306.0,False,MEDIUM,43.0,True,Sauber,0 days 01:39:51.994000,2018-05-13 14:45:58.818,1,10.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:42:40.548000,LEC,16,0 days 00:01:23.706000,64.0,2.0,,,0 days 00:00:23.745000,0 days 00:00:31.231000,0 days 00:00:28.730000,0 days 01:41:40.610000,0 days 01:42:11.841000,0 days 01:42:40.571000,271.0,259.0,278.0,308.0,False,MEDIUM,44.0,True,Sauber,0 days 01:41:16.842000,2018-05-13 14:47:23.666,1,10.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 00:21:48.523000,STR,18,0 days 00:01:28.147000,7.0,1.0,,,0 days 00:00:24.556000,0 days 00:00:33.576000,0 days 00:00:30.015000,0 days 00:20:44.954000,0 days 00:21:18.530000,0 days 00:21:48.545000,245.0,236.0,280.0,313.0,True,SOFT,6.0,True,Williams,0 days 00:20:20.376000,2018-05-13 13:26:27.200,1,12.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:15.057000,STR,18,0 days 00:01:26.534000,8.0,1.0,,,0 days 00:00:24.483000,0 days 00:00:32.784000,0 days 00:00:29.267000,0 days 00:22:13.028000,0 days 00:22:45.812000,0 days 00:23:15.079000,235.0,234.0,277.0,314.0,True,SOFT,7.0,True,Williams,0 days 00:21:48.523000,2018-05-13 13:27:55.347,1,12.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:19.147000,STR,18,0 days 00:01:23.280000,22.0,2.0,,,0 days 00:00:23.679000,0 days 00:00:31.322000,0 days 00:00:28.279000,0 days 00:42:19.568000,0 days 00:42:50.890000,0 days 00:43:19.169000,265.0,265.0,276.0,303.0,True,MEDIUM,2.0,True,Williams,0 days 00:41:55.867000,2018-05-13 13:48:02.691,1,17.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 01:34:28.779000,STR,18,0 days 00:01:22.627000,58.0,2.0,,,0 days 00:00:23.320000,0 days 00:00:30.973000,0 days 00:00:28.334000,0 days 01:33:29.494000,0 days 01:34:00.467000,0 days 01:34:28.801000,260.0,259.0,278.0,,False,MEDIUM,38.0,True,Williams,0 days 01:33:06.152000,2018-05-13 14:39:12.976,1,11.0,False,,False,True,16.9,49.5,1001.6,False,32.9,64,2.5
0 days 01:35:51.254000,STR,18,0 days 00:01:22.475000,59.0,2.0,,,0 days 00:00:23.340000,0 days 00:00:31.028000,0 days 00:00:28.107000,0 days 01:34:52.141000,0 days 01:35:23.169000,0 days 01:35:51.276000,263.0,259.0,280.0,,False,MEDIUM,39.0,True,Williams,0 days 01:34:28.779000,2018-05-13 14:40:35.603,1,11.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:37:13.349000,STR,18,0 days 00:01:22.095000,60.0,2.0,,,0 days 00:00:23.313000,0 days 00:00:30.800000,0 days 00:00:27.982000,0 days 01:36:14.589000,0 days 01:36:45.389000,0 days 01:37:13.371000,272.0,268.0,280.0,,True,MEDIUM,40.0,True,Williams,0 days 01:35:51.254000,2018-05-13 14:41:58.078,1,11.0,False,,False,True,17.0,49.1,1001.5,False,32.4,52,2.4
0 days 01:38:37.164000,STR,18,0 days 00:01:23.815000,61.0,2.0,,,0 days 00:00:23.292000,0 days 00:00:31.241000,0 days 00:00:29.282000,0 days 01:37:36.663000,0 days 01:38:07.904000,0 days 01:38:37.186000,271.0,215.0,282.0,307.0,False,MEDIUM,41.0,True,Williams,0 days 01:37:13.349000,2018-05-13 14:43:20.173,1,11.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:59.915000,STR,18,0 days 00:01:22.751000,62.0,2.0,,,0 days 00:00:23.503000,0 days 00:00:31.027000,0 days 00:00:28.221000,0 days 01:39:00.689000,0 days 01:39:31.716000,0 days 01:39:59.937000,267.0,258.0,281.0,310.0,False,MEDIUM,42.0,True,Williams,0 days 01:38:37.164000,2018-05-13 14:44:43.988,1,11.0,False,,False,True,17.0,49.5,1001.6,False,30.9,90,2.3
0 days 01:41:22.466000,STR,18,0 days 00:01:22.551000,63.0,2.0,,,0 days 00:00:23.237000,0 days 00:00:30.905000,0 days 00:00:28.409000,0 days 01:40:23.174000,0 days 01:40:54.079000,0 days 01:41:22.488000,274.0,268.0,281.0,306.0,False,MEDIUM,43.0,True,Williams,0 days 01:39:59.915000,2018-05-13 14:46:06.739,1,11.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:42:45.360000,STR,18,0 days 00:01:22.894000,64.0,2.0,,,0 days 00:00:23.301000,0 days 00:00:30.922000,0 days 00:00:28.671000,0 days 01:41:45.789000,0 days 01:42:16.711000,0 days 01:42:45.382000,272.0,269.0,280.0,307.0,False,MEDIUM,44.0,True,Williams,0 days 01:41:22.466000,2018-05-13 14:47:29.290,1,11.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 00:21:49.598000,VAN,2,0 days 00:01:28.058000,7.0,1.0,,,0 days 00:00:24.743000,0 days 00:00:33.367000,0 days 00:00:29.948000,0 days 00:20:46.301000,0 days 00:21:19.668000,0 days 00:21:49.616000,224.0,216.0,275.0,303.0,True,SOFT,9.0,False,McLaren,0 days 00:20:21.540000,2018-05-13 13:26:28.364,1,14.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:16.609000,VAN,2,0 days 00:01:27.011000,8.0,1.0,,,0 days 00:00:24.537000,0 days 00:00:32.938000,0 days 00:00:29.536000,0 days 00:22:14.153000,0 days 00:22:47.091000,0 days 00:23:16.627000,251.0,230.0,273.0,304.0,True,SOFT,10.0,False,McLaren,0 days 00:21:49.598000,2018-05-13 13:27:56.422,1,14.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 00:43:02.325000,VAN,2,0 days 00:01:24.270000,22.0,1.0,,,0 days 00:00:23.902000,0 days 00:00:31.652000,0 days 00:00:28.716000,0 days 00:42:01.975000,0 days 00:42:33.627000,0 days 00:43:02.343000,265.0,260.0,273.0,301.0,False,SOFT,24.0,False,McLaren,0 days 00:41:38.055000,2018-05-13 13:47:44.879,1,11.0,False,,False,True,15.7,52.8,1001.5,False,29.7,57,2.5
0 days 00:21:45.511000,MAG,20,0 days 00:01:27.167000,7.0,1.0,,,0 days 00:00:24.651000,0 days 00:00:32.873000,0 days 00:00:29.643000,0 days 00:20:43.036000,0 days 00:21:15.909000,0 days 00:21:45.552000,241.0,225.0,280.0,304.0,True,SOFT,10.0,False,Haas F1 Team,0 days 00:20:18.344000,2018-05-13 13:26:25.168,1,7.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:10.550000,MAG,20,0 days 00:01:25.039000,8.0,1.0,,,0 days 00:00:24.515000,0 days 00:00:32.106000,0 days 00:00:28.418000,0 days 00:22:10.067000,0 days 00:22:42.173000,0 days 00:23:10.591000,250.0,250.0,274.0,311.0,True,SOFT,11.0,False,Haas F1 Team,0 days 00:21:45.511000,2018-05-13 13:27:52.335,1,7.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 01:06:22.622000,MAG,20,0 days 00:01:21.588000,39.0,2.0,,,0 days 00:00:23.276000,0 days 00:00:30.568000,0 days 00:00:27.744000,0 days 01:05:24.351000,0 days 01:05:54.919000,0 days 01:06:22.663000,275.0,272.0,276.0,299.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 01:05:01.034000,2018-05-13 14:11:07.858,1,6.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
